"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"62","brain_latent_gFA","brain_latent_gFA","~","cov_age","",-0.239889813399011,0.00823474262206855,-29.1314281949897,0,-0.256029612360223,-0.2237500144378,0
"63","brain_latent_gFA","brain_latent_gFA","~","cov_sex","",0.0812321839265713,0.00989203304181873,8.21187955834366,2.22044604925031e-16,0.0618441554307264,0.100620212422416,2.22044604925031e-16
"64","brain_latent_gFA","cog_latent_g","~","cardio_latent_gvrf","c",-0.0435762310161988,0.0102669685184236,-4.24431329832201,2.19263834275729e-05,-0.0636991195427156,-0.0234533424896819,2.19263834275729e-05
"65","brain_latent_gFA","cog_latent_g","~","brain_latent_gFA","b",0.0500471342954978,0.00879849494586941,5.68814718919548,1.28425110546004e-08,0.032802401083436,0.0672918675075595,1.28425110546004e-08
"66","brain_latent_gFA","cog_latent_g","~","cov_age","",-0.146098632185143,0.00883852816647031,-16.5297467444162,0,-0.163421829067768,-0.128775435302519,0
"67","brain_latent_gFA","cog_latent_g","~","cov_sex","",0.106421153582918,0.0100373245426874,10.6025418556831,0,0.0867483589781112,0.126093948187726,0
"68","brain_latent_gFA","de",":=","c","de",-0.0435762310161988,0.0102669685184236,-4.24431329832201,2.19263834275729e-05,-0.0636991195427156,-0.0234533424896819,3.65439723792882e-05
"69","brain_latent_gFA","ie",":=","a*b","ie",-0.00249164904357853,0.000669378582131358,-3.72233159245238,0.000197391560747162,-0.00380360695657848,-0.00117969113057859,0.000394783121494324
"70","brain_latent_gFA","te",":=","c+a*b","te",-0.0460678800597773,0.0102688858187902,-4.48616148555098,7.25177866112148e-06,-0.0661945264259602,-0.0259412336935944,7.25177866112148e-06
"71","brain_latent_pc1","brain_latent_pc1","~","cardio_latent_gvrf","a",-0.0474781119327308,0.00973617323035135,-4.87646540477767,1.08003619359032e-06,-0.0665606608114625,-0.0283955630539992,1.08003619359032e-06
"72","brain_latent_pc1","brain_latent_pc1","~","cov_age","",-0.353437096841777,0.00753182181358479,-46.9258441834484,0,-0.368199196334377,-0.338674997349178,0
"73","brain_latent_pc1","brain_latent_pc1","~","cov_sex","",0.0282661480571828,0.00955786936045017,2.9573691574135,0.00310276401304455,0.00953306834176162,0.046999227772604,0.00310276401304455
"74","brain_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0438832950326016,0.0102693332055929,-4.27323704022984,1.92655457329494e-05,-0.0640108182608049,-0.0237557718043984,1.92655457329494e-05
"75","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b",0.0460124834924604,0.00913865455950765,5.03492972546928,4.78024167360758e-07,0.0281010496886727,0.0639239172962482,4.78024167360758e-07
"76","brain_latent_pc1","cog_latent_g","~","cov_age","",-0.141841912894679,0.00918019072662662,-15.4508677562956,0,-0.159834756090076,-0.123849069699283,0
"77","brain_latent_pc1","cog_latent_g","~","cov_sex","",0.109185996885686,0.0100145381066453,10.9027491555735,0,0.0895578628748573,0.128814130896515,0
"78","brain_latent_pc1","de",":=","c","de",-0.0438832950326016,0.0102693332055929,-4.27323704022984,1.92655457329494e-05,-0.0640108182608049,-0.0237557718043984,3.65439723792882e-05
"79","brain_latent_pc1","ie",":=","a*b","ie",-0.00218458584155797,0.000623853716011102,-3.50175976433406,0.000462196167239304,-0.0034073166565612,-0.000961855026554728,0.000660280238913291
"80","brain_latent_pc1","te",":=","c+a*b","te",-0.0460678808741596,0.0102688858177581,-4.48616156530769,7.25177594795845e-06,-0.0661945272383196,-0.0259412345099996,7.25177594795845e-06
"81","brain_latent_pc2","brain_latent_pc2","~","cardio_latent_gvrf","a",-0.0211350757430675,0.0101860671722186,-2.07490048766918,0.0379957585148036,-0.0410994005447218,-0.00117075094141317,0.0379957585148036
"82","brain_latent_pc2","brain_latent_pc2","~","cov_age","",0.00509835463425925,0.00864754391418921,0.589572563591574,0.55547725028734,-0.0118505199922801,0.0220472292607986,0.55547725028734
"83","brain_latent_pc2","brain_latent_pc2","~","cov_sex","",-0.215803688941037,0.00974623244267879,-22.142267815821,0,-0.234905953513643,-0.196701424368431,0
"84","brain_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.047015295610265,0.0102599587178217,-4.58240592416799,4.59656518136953e-06,-0.0671244451800632,-0.0269061460404668,4.59656518136953e-06
"85","brain_latent_pc2","cog_latent_g","~","brain_latent_pc2","b",-0.0448269195831484,0.00874226666596494,-5.12760835329662,2.9344609675519e-07,-0.0619614473916847,-0.0276923917746121,2.9344609675519e-07
"86","brain_latent_pc2","cog_latent_g","~","cov_age","",-0.157875887781525,0.00856179962727866,-18.4395681579043,0,-0.174656706693839,-0.14109506886921,0
"87","brain_latent_pc2","cog_latent_g","~","cov_sex","",0.100812768033179,0.0101966729594604,9.88682959961417,0,0.0808276562705027,0.120797879795854,0
"88","brain_latent_pc2","de",":=","c","de",-0.047015295610265,0.0102599587178217,-4.58240592416799,4.59656518136953e-06,-0.0671244451800632,-0.0269061460404668,1.87685662507893e-05
"89","brain_latent_pc2","ie",":=","a*b","ie",0.000947420340718236,0.000492651673992419,1.92310386979993,0.0544670064553097,-1.81591972302726e-05,0.00191299987866674,0.0605188960614552
"90","brain_latent_pc2","te",":=","c+a*b","te",-0.0460678752695468,0.0102688858223257,-4.48616101752636,7.25179458260783e-06,-0.0661945216426592,-0.0259412288964344,7.25179458260783e-06
"91","brain_latent_pc3","brain_latent_pc3","~","cardio_latent_gvrf","a",-0.0479958778088859,0.00922495440883629,-5.20283089560987,1.96275455666139e-07,-0.066076456209229,-0.0299152994085428,1.96275455666139e-07
"92","brain_latent_pc3","brain_latent_pc3","~","cov_age","",-0.173460429725942,0.00768042358423666,-22.5847478102578,0,-0.188513783337057,-0.158407076114826,0
"93","brain_latent_pc3","brain_latent_pc3","~","cov_sex","",0.468859744677906,0.0080088202434314,58.542922731029,0,0.453162745442125,0.484556743913686,0
"94","brain_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0398362008997159,0.0102120181016563,-3.90091365909888,9.5830327305757e-05,-0.0598513885884333,-0.0198210132109985,9.5830327305757e-05
"95","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b",0.129837593729976,0.00953385123661152,13.6185881767673,0,0.111151588672255,0.148523598787697,0
"96","brain_latent_pc3","cog_latent_g","~","cov_age","",-0.135582747237268,0.0087133878170901,-15.5602792029228,0,-0.152660673542094,-0.118504820932441,0
"97","brain_latent_pc3","cog_latent_g","~","cov_sex","",0.0496109588660172,0.0109682936408269,4.52312460721801,6.0933342631575e-06,0.0281134983581367,0.0711084193738977,6.0933342631575e-06
"98","brain_latent_pc3","de",":=","c","de",-0.0398362008997159,0.0102120181016563,-3.90091365909888,9.5830327305757e-05,-0.0598513885884333,-0.0198210132109985,0.000119787909132196
"99","brain_latent_pc3","ie",":=","a*b","ie",-0.00623166928366371,0.00128267529105798,-4.8583373571683,1.18375589885922e-06,-0.00874566665799679,-0.00371767190933064,2.95938974714804e-06
"100","brain_latent_pc3","te",":=","c+a*b","te",-0.0460678701833796,0.0102688858279793,-4.48616051975767,7.25181151595145e-06,-0.0661945165675727,-0.0259412237991865,7.25181151595145e-06
