"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"589","brain_latent_atrophy","~","brain_latent_cc1",0.778642102334365,0.00710021550404776,109.664573123234,0,0.764725935663958,0.792558269004771,0.624678780167995,0.260580598988754,0
"593","brain_latent_atrophy","~","brain_latent_cc2",0.334369818437813,0.00809906112401147,41.2850098694155,0,0.318495950326162,0.350243686549464,0.436870348597157,0.072772167417916,0
"597","brain_latent_atrophy","~","brain_latent_cc3",-0.00301472869679514,0.0077830128879874,-0.387347257441677,0.698499144398867,-0.0182691536484615,0.0122396962548712,0.364120501344364,2.23201651236016e-05,0.714329153337085
"601","brain_latent_gMD","~","cardio_latent_agg",0.0447554516681125,0.00918865019133498,4.87073190688198,1.11185616846754e-06,0.0267460282265589,0.0627648751096662,0.113939163588904,0.0018192236415443,1.72366754705861e-06
"605","brain_latent_gMD","~","cardio_latent_gvrf",0.0487689161193389,0.0103301003517015,4.72104959864268,2.34630710016503e-06,0.0285222914733195,0.0690155407653584,0.113833545053056,0.00171360510569607,3.61973018444264e-06
"609","brain_latent_gMD","~","cog_latent_g",-0.0357424384335614,0.00877108296275169,-4.07503139411056,4.60081398703238e-05,-0.0529334451459676,-0.0185514317211552,0.113414906635902,0.00129496668854145,6.36357796673827e-05
"613","brain_latent_gMD","~","heart_latent_pc1",0.0612220984954532,0.00887436250039888,6.89876016364008,5.24580379135386e-12,0.0438286676089185,0.0786155293819878,0.115686895828058,0.00356695588069766,9.51625712903892e-12
"617","brain_latent_gMD","~","heart_latent_pc2",0.0393378282982869,0.00918230229595816,4.28409205342787,1.83486937532784e-05,0.0213408465030494,0.0573348100935243,0.113543699842163,0.00142375989480292,2.60927941402015e-05
"621","brain_latent_gMD","~","heart_latent_pc3",-0.0380897560190276,0.00877578347964019,-4.34032540882484,1.42271870609001e-05,-0.0552899755752439,-0.0208895364628112,0.113579440751055,0.00145950080369439,2.04622092788244e-05
"625","brain_latent_gMD","~","brain_latent_grey",0.00285933020605599,0.0105908934147058,0.269980075721064,0.78717558189747,-0.0178984394508698,0.0236170998629818,0.112191672182589,7.17322352292715e-05,0.800479957929539
"629","brain_latent_gMD","~","brain_latent_atrophy",0.0400974190973055,0.0107894178055427,3.71636540728888,0.000202109226109082,0.0189505487842867,0.0612442894103244,0.113208641928695,0.00108870198133526,0.000270227520834735
"633","brain_latent_gMD","~","brain_latent_gMD",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"636","brain_latent_gMD","~","brain_latent_gFA",-0.473529337796274,0.00659873389661968,-71.760635481732,0,-0.486462618577212,-0.460596057015336,0.322037461412347,0.209917521464987,0
"640","brain_latent_gMD","~","brain_latent_pc1",-0.962993468961499,0.00113586254083804,-847.808105592601,0,-0.965219718632929,-0.960767219290068,0.917149027301529,0.805029087354169,0
"644","brain_latent_gMD","~","brain_latent_pc2",0.242377471507765,0.0082061459112818,29.5360908918942,0,0.226293721069772,0.258461221945758,0.16805911818758,0.0559391782402201,0
"648","brain_latent_gMD","~","brain_latent_pc3",0.0185701595232222,0.00982568499837097,1.88996080439186,0.0587632023811182,-0.000687829197020352,0.0378281482434648,0.112451207650758,0.000331267703398197,0.0660949824970556
"652","brain_latent_gMD","~","heart_latent_cc1",0.100836877810228,0.00993270367796942,10.1520070546232,0,0.081369136332299,0.120304619288156,0.119689062388286,0.007569122440926,0
"656","brain_latent_gMD","~","heart_latent_cc2",-0.0686871536169202,0.00966232308115215,-7.10876184122896,1.17084120176969e-12,-0.0876249588629685,-0.0497493483708719,0.115901209062402,0.00378126911504206,2.15649833591254e-12
"660","brain_latent_gMD","~","heart_latent_cc3",-0.09210830908892,0.00924499986851473,-9.96304060561527,0,-0.110228175868286,-0.0739884423095537,0.119417359840948,0.00729741989358779,0
"664","brain_latent_gMD","~","brain_latent_cc1",0.129306197122915,0.0130200877629194,9.93128460248728,0,0.103787294032042,0.154825100213788,0.119372220539814,0.00725228059245342,0
"668","brain_latent_gMD","~","brain_latent_cc2",-0.236168033981779,0.0101845822643786,-23.1887796525338,0,-0.256129448417546,-0.216206619546011,0.148483075362057,0.0363631354146964,0
"672","brain_latent_gMD","~","brain_latent_cc3",-0.313614682708921,0.00819284024652664,-38.2791160662358,0,-0.329672354523204,-0.297557010894639,0.198496831716227,0.0863768917688671,0
"676","brain_latent_gFA","~","cardio_latent_agg",-0.0395451611693702,0.00943896719787666,-4.18956442377149,2.79490426300377e-05,-0.0580451969284634,-0.021045125410277,0.0654940861500192,0.00162057473249788,3.9017045060671e-05
"680","brain_latent_gFA","~","cardio_latent_gvrf",-0.0404719063256519,0.0106132238043986,-3.81334711031709,0.000137097349783843,-0.0612734427421362,-0.0196703699091675,0.0652600186312999,0.00138650721377864,0.000184672176387938
"684","brain_latent_gFA","~","cog_latent_g",0.0472210707964613,0.00899507763657908,5.24965683502649,1.52382815032936e-07,0.0295910425906246,0.064851099002298,0.0662700189034655,0.00239650748594422,2.444897610084e-07
"688","brain_latent_gFA","~","heart_latent_pc1",-0.0482254009526138,0.00912734400249874,-5.28361820694075,1.26657073717951e-07,-0.066114666472019,-0.0303361354332086,0.0662976950394258,0.00242418362190455,2.06918293448653e-07
"692","brain_latent_gFA","~","heart_latent_pc2",-0.0233653695606783,0.00943829847013177,-2.47559129800989,0.0133015748155689,-0.041864094637476,-0.00486664448388052,0.0646044926401499,0.000730981222628602,0.0158508986662243
"696","brain_latent_gFA","~","heart_latent_pc3",0.0220873849047019,0.00902098045098593,2.44844615557148,0.0143473872649962,0.00440658811552963,0.0397681816938742,0.0645940585302756,0.000720547112754266,0.0169816616480774
"700","brain_latent_gFA","~","brain_latent_grey",0.156799457870753,0.0106501713040372,14.7227169774551,0,0.135925505685658,0.177673410055848,0.0803936539776804,0.0165201425601591,0
"704","brain_latent_gFA","~","brain_latent_atrophy",0.116876905905109,0.0109701740879832,10.6540611815027,0,0.0953757597885269,0.13837805202169,0.0728119526678035,0.0089384412502822,0
"708","brain_latent_gFA","~","brain_latent_gMD",-0.499163268668506,0.00686210256861334,-72.7420296734758,0,-0.512612742561208,-0.485713794775804,0.285336774597583,0.221463263180061,0
"712","brain_latent_gFA","~","brain_latent_gFA",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"715","brain_latent_gFA","~","brain_latent_pc1",0.725982443571795,0.00446691204244678,162.524454628422,0,0.717227456846491,0.734737430297099,0.52161528666567,0.457741775248148,0
"719","brain_latent_gFA","~","brain_latent_pc2",0.624827058805466,0.00509872730466033,122.545690614668,0,0.61483373692134,0.634820380689591,0.435434714903127,0.371561203485605,0
"723","brain_latent_gFA","~","brain_latent_pc3",-0.0504249949715932,0.0100665749308852,-5.00915110827663,5.46706371507e-07,-0.070155119283802,-0.0306948706593845,0.0660789787081266,0.00220546729060533,8.58091304843595e-07
"727","brain_latent_gFA","~","heart_latent_cc1",-0.0670967829043223,0.0102538010931305,-6.54360098220291,6.00548499818387e-11,-0.0871938637514956,-0.046999702057149,0.0674474609886025,0.00357394957108126,1.07325746749722e-10
"731","brain_latent_gFA","~","heart_latent_cc2",0.0450442325523662,0.00994777060067479,4.52807310909549,5.9523988886756e-06,0.0255469604485773,0.0645415046561552,0.0657232345933121,0.0018497231757908,8.80662294595038e-06
"735","brain_latent_gFA","~","heart_latent_cc3",0.064240117908455,0.00953813901400471,6.73507880458988,1.63840052636033e-11,0.0455457089614694,0.0829345268554406,0.0676429633562332,0.00376945193871192,2.95731295008039e-11
"739","brain_latent_gFA","~","brain_latent_cc1",-0.00549763014902648,0.0134920681356264,-0.407471270806124,0.683661890497426,-0.0319415977718146,0.0209463374737617,0.06413858697868,0.000265075561158734,0.703140778622039
