"","PC1","PC2","PC3"
"brain_bio.weighted.mean_l2_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.104464560264236,0.0158583841018245,0.0261641421108673
"brain_bio.weighted.mean_l2_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.109379496337576,0.00638799964646824,0.00243809452894367
"brain_bio.weighted.mean_l2_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.0839979430745245,-0.025120278679285,-0.0439870524121732
"brain_bio.weighted.mean_l2_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.0876674428370609,-0.0329191298211141,-0.0607207381518903
"brain_bio.weighted.mean_l2_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.107366526786337,0.00101822097668326,-0.0081544854923656
"brain_bio.weighted.mean_l2_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.107585955257856,-0.00160377948278497,-0.024157667837109
"brain_bio.weighted.mean_l2_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0886004708698689,-0.0116765104572893,-0.0772486270228865
"brain_bio.weighted.mean_l2_in_tract_uncinate_fasciculus_.left..0.imaging",0.0806639656754546,0.0440719219786852,0.00289893832130873
"brain_bio.weighted.mean_l2_in_tract_uncinate_fasciculus_.right..0.imaging",0.091531778671989,0.0342318343163929,-0.00259029929829972
"brain_bio.weighted.mean_l3_in_tract_acoustic_radiation_.left..0.imaging",0.064783973225495,0.0225686084210492,0.0366268785334379
"brain_bio.weighted.mean_l3_in_tract_acoustic_radiation_.right..0.imaging",0.0629123288792238,0.0359190574036537,-0.0109083148655799
"brain_bio.weighted.mean_l3_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.101317697124762,0.00341985971917595,-0.0334609430898976
"brain_bio.weighted.mean_l3_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.102077455080851,0.0062402680808774,-0.0310238060588222
"brain_bio.weighted.mean_l3_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.0782667739119623,0.0503892715992186,-0.0178636342207344
"brain_bio.weighted.mean_l3_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0768728875334628,0.0480255454097615,-0.0255936198945184
"brain_bio.weighted.mean_l3_in_tract_corticospinal_tract_.left..0.imaging",0.0763438516228799,0.030132646141761,-0.00712907155327393
"brain_bio.weighted.mean_l3_in_tract_corticospinal_tract_.right..0.imaging",0.0752305248243453,0.036293447694094,-0.0328986745165856
"brain_bio.weighted.mean_l3_in_tract_forceps_major.0.imaging",0.0525181048401058,0.00970251296031302,0.0540250203762594
"brain_bio.weighted.mean_l3_in_tract_forceps_minor.0.imaging",0.0952855001288857,0.0068801019821083,-0.0146876129924575
"brain_bio.weighted.mean_l3_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.109144152662272,0.0185786973399894,0.0236811152188296
"brain_bio.weighted.mean_l3_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.111179761311379,0.00232896375374959,0.00473389968370604
"brain_bio.weighted.mean_l3_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.106666526837501,0.00761432726359936,0.0361502534139751
"brain_bio.weighted.mean_l3_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.111085765686767,-0.00215232224848666,0.0094603228805059
"brain_bio.weighted.mean_l3_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.0855938172282434,-0.0361322618232342,-0.0293166222882104
"brain_bio.weighted.mean_l3_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.0887531097377026,-0.0430484905492678,-0.0471217615837487
"brain_bio.weighted.mean_l3_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.108090355492172,0.00799354443857644,-0.000756248453714626
"brain_bio.weighted.mean_l3_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.107475592304017,0.0103329856812443,-0.0121216103980447
"brain_bio.weighted.mean_l3_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0982142066072644,-0.00642794616429427,-0.0703563550873503
"brain_bio.weighted.mean_l3_in_tract_superior_thalamic_radiation_.right..0.imaging",0.0954741775048208,-0.00778023597552104,-0.0736969511997475
"brain_bio.weighted.mean_l3_in_tract_uncinate_fasciculus_.left..0.imaging",0.0778757187882076,0.0590355788192148,0.000904993244258255
