"","lhs","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"361","brain_latent_grey","cardio_latent_agg",-0.0607738525686258,3.51623352656816e-09,-0.0809440301595598,-0.0406036749776917,0.340344945647676,0.00321815189189334,5.5373756323908e-09
"364","brain_latent_grey","cardio_latent_gvrf",-0.062035935657409,9.98465288226669e-08,-0.0848608149000214,-0.0392110564147966,0.33974978309088,0.00262298933509741,1.44705114235749e-07
"367","brain_latent_grey","cog_latent_g",0.13618876548961,0,0.117347531704852,0.155029999274368,0.354889609638332,0.0177628158825489,0
"370","brain_latent_grey","heart_latent_pc1",0.167281264140339,0,0.139116598056684,0.195445930223994,0.349314508516789,0.0121877147610066,0
"373","brain_latent_grey","heart_latent_pc2",-0.0906636322084117,0,-0.110197306039849,-0.0711299583769741,0.344669469706519,0.00754267595073588,0
"376","brain_latent_grey","heart_latent_pc3",-0.0020200217431748,0.835397201139573,-0.0210742294509113,0.0170341859645617,0.33713082758878,4.03383299674154e-06,0.839595562425966
"382","brain_latent_grey","brain_latent_atrophy",0.952413022788426,0,0.946978495463303,0.957847550113549,0.912956384481446,0.575829590725663,0
"385","brain_latent_grey","brain_latent_wmh",0.0468240323878083,5.50277116762032e-06,0.0266302876026869,0.0670177771729298,0.339039774908021,0.00191298115223826,7.53804269537031e-06
"388","brain_latent_grey","brain_latent_gMD",0.028831011496722,0.00574989178634677,0.00836989373371614,0.049292129259728,0.33783564625917,0.000708852503386592,0.00705508194643776
"391","brain_latent_grey","brain_latent_gFA",0.122184318961167,0,0.102898001285157,0.141470636637176,0.350929047674486,0.0138022539187034,0
"394","brain_latent_grey","brain_latent_pc1",-0.0271116533547995,0.00943645101098323,-0.0475821757224459,-0.00664113098715306,0.337753193772211,0.000626400016428108,0.0113485453877998
"397","brain_latent_grey","brain_latent_pc2",0.423230343018935,0,0.40711744363571,0.439343242402159,0.490386819025895,0.153260025270112,0
"400","brain_latent_grey","brain_latent_pc3",0.333413361121092,0,0.315567644468193,0.351259077773992,0.43130083790363,0.0941740441478471,0
"403","brain_latent_grey","heart_latent_cc1",0.309819712781217,0,0.275391828146436,0.344247597415997,0.363943380112198,0.0268165863564146,0
"406","brain_latent_grey","heart_latent_cc2",0.121327121212413,0,0.0968975225708934,0.145756719853932,0.345736402306467,0.00860960855068438,0
"409","brain_latent_grey","heart_latent_cc3",0.0483466515752383,1.07194679022093e-06,0.0289209262169829,0.0677723769334937,0.339328845013665,0.00220205125788231,1.5204919010226e-06
"412","brain_latent_grey","brain_latent_cc1",0.664263845029798,0,0.641806408694434,0.686721281365162,0.51531762053311,0.178190826777327,0
"415","brain_latent_grey","brain_latent_cc2",0.460226681241065,0,0.437958187243858,0.482495175238272,0.44679546957441,0.109668675818627,0
"418","brain_latent_grey","brain_latent_cc3",0.0563880234968472,1.2682726868718e-08,0.0369657118029627,0.0758103351907317,0.340116623865118,0.00298983010933529,1.93629417843022e-08
"421","brain_latent_atrophy","cardio_latent_agg",-0.0309884029351163,0.00216448398131686,-0.0507935661036221,-0.0111832397666106,0.366027330345589,0.000836695377688379,0.00270560497664607
"424","brain_latent_atrophy","cardio_latent_gvrf",-0.0255927598932699,0.0251704125221752,-0.0479982436937985,-0.00318727609274124,0.365637051203131,0.000446416235230229,0.029787470440444
"427","brain_latent_atrophy","cog_latent_g",0.134604630447248,0,0.116164248214541,0.153045012679956,0.382542616212965,0.017351981245064,0
"430","brain_latent_atrophy","heart_latent_pc1",0.197912145910186,0,0.170555815973143,0.225268475847228,0.382250376319803,0.0170597413519027,0
"433","brain_latent_atrophy","heart_latent_pc2",-0.0801263455133095,2.22044604925031e-16,-0.0992842577750754,-0.0609684332515436,0.371081912909136,0.0058912779412349,4.1895208476421e-16
"436","brain_latent_atrophy","heart_latent_pc3",0.0143830131022476,0.13046796062216,-0.00425809648551551,0.0330241226900107,0.365394464364338,0.00020382939643715,0.143371385299077
"439","brain_latent_atrophy","brain_latent_grey",0.912091046375774,0,0.906716872500146,0.917465220251402,0.91664152130849,0.55145088634059,0
"445","brain_latent_atrophy","brain_latent_wmh",0.078696882080674,4.2188474935756e-15,0.0590361466427327,0.0983576175186152,0.370594288237622,0.00540365326972114,7.81268054365851e-15
"448","brain_latent_atrophy","brain_latent_gMD",0.0537100985392345,1.35814457680183e-07,0.0337379068223306,0.0736822902561384,0.367650690654065,0.00246005568616392,1.95416485870767e-07
"451","brain_latent_atrophy","brain_latent_gFA",0.090583454018217,0,0.0715443681387609,0.109622539897673,0.372776690606596,0.00758605563869563,0
"454","brain_latent_atrophy","brain_latent_pc1",-0.00470263466952771,0.645727863246319,-0.0247524303429638,0.0153471610039083,0.365209474017024,1.88390491231427e-05,0.658905982904407
"457","brain_latent_atrophy","brain_latent_pc2",0.431015977233506,0,0.415488867600613,0.4465430868664,0.524141158957104,0.158950523989203,0
"460","brain_latent_atrophy","brain_latent_pc3",0.35688863522214,0,0.339862049912616,0.373915220531664,0.473092906599926,0.107902271632025,0
"463","brain_latent_atrophy","heart_latent_cc1",0.36856140916056,0,0.335452855740235,0.401669962580885,0.4031400349495,0.0379493999815992,0
"466","brain_latent_atrophy","heart_latent_cc2",0.0869862864831444,1.34381394900629e-12,0.0629387655585772,0.111033807407712,0.369616195311185,0.00442556034328412,2.38900257601118e-12
"469","brain_latent_atrophy","heart_latent_cc3",0.0204703401711839,0.035280435339339,0.00141155222919239,0.0395291281131755,0.365585378969327,0.000394744001426361,0.0410237620224872
"472","brain_latent_atrophy","brain_latent_cc1",0.781481514739959,0,0.762350652936489,0.800612376543428,0.611818110573908,0.246627475606007,0
"475","brain_latent_atrophy","brain_latent_cc2",0.355216867645195,0,0.331898343924484,0.378535391365906,0.430522660619364,0.0653320256514629,0
"478","brain_latent_atrophy","brain_latent_cc3",0.0343590424545483,0.000409747744551048,0.0153019588175977,0.053416126091499,0.366300709969637,0.00111007500173643,0.000528706767162642
"481","brain_latent_wmh","cardio_latent_agg",0.106143006522269,0,0.0831900081007249,0.129096004943813,0.137301220945864,0.00981648282056335,0
"484","brain_latent_wmh","cardio_latent_gvrf",0.150962685347259,0,0.125203824028291,0.176721546666227,0.14301759409682,0.0155328559715185,0
"487","brain_latent_wmh","cog_latent_g",-0.06146654157516,4.80006554504087e-08,-0.0835368615997061,-0.0393962215506139,0.131103057745103,0.0036183196198023,7.05891991917774e-08
