"","lhs","op","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"346","brain_latent_grey","~","cardio_latent_gvrf",-0.0690195851718193,8.43769498715119e-15,-0.0864538443717385,-0.0515853259719001,0.341588308992273,0.00329928375257238,1.6116443864347e-14
"349","brain_latent_grey","~","cog_latent_g",0.140365372571189,0,0.125899560809704,0.154831184332675,0.35723710789487,0.0189480826551697,0
"352","brain_latent_grey","~","heart_latent_pc1",-0.0262270476200468,0.000632783605045706,-0.0412699742015163,-0.0111841210385773,0.338933771784836,0.00064474654513591,0.000801525899724561
"355","brain_latent_grey","~","heart_latent_pc2",0.104091671779487,0,0.0887373344350372,0.119446009123937,0.347793725776289,0.00950470053658814,0
"358","brain_latent_grey","~","heart_latent_pc3",0.00485533878795893,0.522319677735397,-0.0100191205527021,0.0197297981286199,0.338311647135889,2.26218961882907e-05,0.543393094128179
"364","brain_latent_grey","~","brain_latent_atrophy",0.952329261614373,0,0.948192099024565,0.956466424204181,0.915008111998006,0.576719086758305,0
"367","brain_latent_grey","~","brain_latent_gMD",0.00218339476742844,0.782073773281265,-0.0132869715333506,0.0176537610682075,0.338293258038663,4.23279896211159e-06,0.795291921562076
"370","brain_latent_grey","~","brain_latent_gFA",0.110926970708671,0,0.0961065756566996,0.125747365760643,0.349807865275175,0.0115188400354742,0
"373","brain_latent_grey","~","brain_latent_pc1",0.0412101045946533,2.30100389631005e-07,0.025596926729866,0.0568232824594407,0.33976325364208,0.00147422840237943,3.69183291807968e-07
"376","brain_latent_grey","~","brain_latent_pc2",0.175066815971124,0,0.160740442852485,0.189393189089763,0.367457557250798,0.0291685320110974,0
"379","brain_latent_grey","~","brain_latent_pc3",0.570409772641376,0,0.559444508711622,0.581375036571129,0.588251332840347,0.249962307600646,0
"382","brain_latent_grey","~","heart_latent_cc1",0.0296937388582282,0.000586512749747303,0.0127645790129572,0.0466228987034993,0.338941565181862,0.000652539942161412,0.000753491468536571
"385","brain_latent_grey","~","heart_latent_cc2",0.131283859127506,0,0.115197506728059,0.147370211526953,0.351901631124863,0.0136126058851624,0
"388","brain_latent_grey","~","heart_latent_cc3",-0.0519877345302812,9.36806188178707e-11,-0.0677198695801794,-0.0362555994803831,0.340594381063904,0.00230535582420377,1.64969284845128e-10
"391","brain_latent_grey","~","brain_latent_cc1",0.663538955498156,0,0.64709392184704,0.679983989149271,0.527523258435338,0.189234233195637,0
"394","brain_latent_grey","~","brain_latent_cc2",0.438014313609042,0,0.423082133263348,0.452946493954735,0.463143158909064,0.124854133669363,0
"397","brain_latent_grey","~","brain_latent_cc3",-0.0121141195874811,0.126991145235274,-0.0276724869453594,0.00344424777039732,0.338417807314407,0.000128782074706679,0.139342867568189
"400","brain_latent_atrophy","~","cardio_latent_agg",-0.0342127857182398,1.10059435287635e-05,-0.0494652149336926,-0.018960356502787,0.36512265089366,0.00102446971441894,1.5956408087886e-05
"403","brain_latent_atrophy","~","cardio_latent_gvrf",-0.0294250761417537,0.000775096088848626,-0.0465815338355152,-0.0122686184479922,0.364697846948458,0.000599665769217217,0.000968199612714027
"406","brain_latent_atrophy","~","cog_latent_g",0.134993793403274,0,0.120789830279885,0.149197756526663,0.381623784780607,0.0175256036013659,0
"409","brain_latent_atrophy","~","heart_latent_pc1",-0.0223127125332534,0.00302834046173461,-0.0370629243137309,-0.00756250075277579,0.364564864976422,0.0004666837971814,0.00368091214372456
"412","brain_latent_atrophy","~","heart_latent_pc2",0.090667804397661,0,0.075568968801345,0.105766639993977,0.371309460613183,0.00721127943394251,0
"415","brain_latent_atrophy","~","heart_latent_pc3",0.0114182482895995,0.12478229076199,-0.00316107690339186,0.0259975734825909,0.364223393445979,0.000125212266738228,0.137756596223482
"418","brain_latent_atrophy","~","brain_latent_grey",0.915184933082107,0,0.911089457271098,0.919280408893117,0.918323104816821,0.55422492363758,0
"424","brain_latent_atrophy","~","brain_latent_gMD",0.028751964976251,0.00019942896726266,0.013602294558279,0.0439016353942229,0.364832167215785,0.000733986036543843,0.000265659989600813
"427","brain_latent_atrophy","~","brain_latent_gFA",0.0794558110160393,0,0.0648120641477251,0.0940995578843536,0.370008158930847,0.00590997775160629,0
"430","brain_latent_atrophy","~","brain_latent_pc1",0.0150692597459301,0.0540795956959563,-0.000264158227144561,0.0304026777190047,0.364295305487227,0.000197124307986241,0.0619769334801277
"433","brain_latent_atrophy","~","brain_latent_pc2",0.191699176445829,0,0.177786977338283,0.205611375553374,0.399072340158666,0.0349741589794247,0
"436","brain_latent_atrophy","~","brain_latent_pc3",0.577760666431678,0,0.567261930431505,0.588259402431851,0.620544545466464,0.256446364287223,0
"439","brain_latent_atrophy","~","heart_latent_cc1",0.0329161675602912,0.00010094139430783,0.016324287496782,0.0495080476238004,0.364900047181273,0.000801866002032359,0.000136478814026691
"442","brain_latent_atrophy","~","heart_latent_cc2",0.0980560830718646,0,0.0821525014918478,0.113959664651881,0.371692138734152,0.00759395755491099,0
"445","brain_latent_atrophy","~","heart_latent_cc3",-0.0364262766927971,3.80629515461806e-06,-0.0518739193884883,-0.0209786339971059,0.365229972192172,0.00113179101293126,5.70154585401294e-06
"448","brain_latent_atrophy","~","brain_latent_cc1",0.778641620034096,0,0.764726016781825,0.792557223286367,0.62467877858282,0.260580597403579,0
"451","brain_latent_atrophy","~","brain_latent_cc2",0.334363557809052,0,0.318489438856468,0.350237676761636,0.436853410262736,0.0727552290834955,0
"454","brain_latent_atrophy","~","brain_latent_cc3",-0.00300449223178153,0.699475293677809,-0.0182590422074374,0.0122500577438743,0.364106097223161,7.91604392036405e-06,0.715327424979289
"457","brain_latent_gMD","~","cardio_latent_agg",0.0448525591605394,1.05276022210887e-06,0.0268439139596331,0.0628612043614456,0.113880673142533,0.001760733195173,1.63206492390565e-06
"460","brain_latent_gMD","~","cardio_latent_gvrf",0.0487340360392631,2.38747161707131e-06,0.0284867171265272,0.0689813549519989,0.113764836434369,0.00164489648700861,3.68323612719121e-06
"463","brain_latent_gMD","~","cog_latent_g",-0.0357727955471007,4.53507865876279e-05,-0.052964280248753,-0.0185813108454484,0.113350637943222,0.00123069799586195,6.27265668894011e-05
"466","brain_latent_gMD","~","heart_latent_pc1",0.0604956631182121,8.58890736310514e-12,0.0431314232997922,0.077859902936632,0.115550374438223,0.00343043449086289,1.55808822014118e-11
"469","brain_latent_gMD","~","heart_latent_pc2",0.039373901872228,1.80360081991626e-05,0.0213764662914435,0.0573713374530125,0.113479887592666,0.00135994764530623,2.56797482695561e-05
"472","brain_latent_gMD","~","heart_latent_pc3",-0.0379865286799469,1.50019120361833e-05,-0.0551863602541968,-0.0207866971056969,0.113505769897669,0.001385829950309,2.15764551596102e-05
"475","brain_latent_gMD","~","brain_latent_grey",0.00292967589725287,0.782072841912435,-0.0178283479067147,0.0236876997012204,0.112125616583988,5.67663662787155e-06,0.795291921562076
"478","brain_latent_gMD","~","brain_latent_atrophy",0.0401450376136762,0.000198676450164914,0.0189976821613803,0.0612923930659721,0.113144773516904,0.00102483356954353,0.000265637772257533
"484","brain_latent_gMD","~","brain_latent_gFA",-0.473263642529478,0,-0.486199445295146,-0.46032783976381,0.32179213052339,0.20967219057603,0
"487","brain_latent_gMD","~","brain_latent_pc1",-0.963001659682191,0,-0.96522737780715,-0.960775941557233,0.917148122625424,0.805028182678064,0
"490","brain_latent_gMD","~","brain_latent_pc2",0.242431286697764,0,0.226353652667475,0.258508920728053,0.16805500544498,0.0559350654976198,0
"493","brain_latent_gMD","~","brain_latent_pc3",0.0185418183228369,0.0591586305356542,-0.000716821530479875,0.0378004581761536,0.112384059780205,0.000264119832845133,0.0669568627021067
"496","brain_latent_gMD","~","heart_latent_cc1",0.100015583475768,0,0.0805738344585781,0.119457332492958,0.119523147868438,0.00740320792107774,0
"499","brain_latent_gMD","~","heart_latent_cc2",-0.0679743533183676,1.85718107559296e-12,-0.0868857516377377,-0.0490629549989974,0.115769241327299,0.00364930137993924,3.4206243280054e-12
"502","brain_latent_gMD","~","heart_latent_cc3",-0.091794836009151,0,-0.109909508995403,-0.0736801630228988,0.119307352602356,0.00718741265499612,0
"505","brain_latent_gMD","~","brain_latent_cc1",0.129392151138343,0,0.103873336185134,0.154910966091551,0.119315796913254,0.00719585696589353,0
"508","brain_latent_gMD","~","brain_latent_cc2",-0.236180048181661,0,-0.256142113588164,-0.216217982775158,0.148420445474218,0.036300505526858,0
"511","brain_latent_gMD","~","brain_latent_cc3",-0.313590827792618,0,-0.329649369598798,-0.297532285986438,0.198417871447716,0.086297931500356,0
"514","brain_latent_gFA","~","cardio_latent_agg",-0.0393380679431322,3.08253444503137e-05,-0.0578396240001366,-0.0208365118861277,0.0652279010099128,0.00135438959239154,4.33659663066509e-05
"517","brain_latent_gFA","~","cardio_latent_gvrf",-0.0405382299126532,0.000133926904348103,-0.061342343305091,-0.0197341165202154,0.0650116673126777,0.00113815589515642,0.000180401539065915
"520","brain_latent_gFA","~","cog_latent_g",0.0471602895883926,1.58679768658132e-07,0.0295278828049274,0.0647926963718579,0.0660124500991619,0.00213893868164061,2.59200889075048e-07
"523","brain_latent_gFA","~","heart_latent_pc1",-0.0490365051382073,7.36473519946657e-08,-0.0668940137807813,-0.0311789964956333,0.0661274336838302,0.00225392226630894,1.21400429543718e-07
"526","brain_latent_gFA","~","heart_latent_pc2",-0.0232932917965442,0.0136008924644286,-0.0417944125027753,-0.00479217109031303,0.0643494688855218,0.000475957468000554,0.0162075851098828
"529","brain_latent_gFA","~","heart_latent_pc3",0.0222751818026084,0.0135442766671401,0.00459341141848019,0.0399569521867366,0.0643500442595947,0.000476532842073385,0.0162075851098828
