"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"119","heart_latent_cc1","ie",":=","a*b","ie",0.0365062338076022,0,0.0284929637748435,0.0445195038403608,0,TRUE
"120","heart_latent_cc1","te",":=","c+a*b","te",-0.0369739627386892,0.000597503951418554,-0.0580846590058334,-0.0158632664715451,0.000597507293656374,TRUE
"121","heart_latent_cc1","pm",":=","(a*b)/(c+a*b)","pm",-0.98734977545164,0.00146780371704236,-1.59570730466754,-0.378992246235737,0.00462539032633507,TRUE
"122","heart_latent_cc2","heart_latent_cc2","~","cardio_latent_gvrf","a",-0.565230529103784,0,-0.579184679849077,-0.55127637835849,0,TRUE
"125","heart_latent_cc2","cog_latent_g","~","cardio_latent_gvrf","c",0.0263556853567406,0.0363871001089426,0.0016702182644906,0.0510411524489906,0.041585257267363,TRUE
"126","heart_latent_cc2","cog_latent_g","~","heart_latent_cc2","b",0.112042147343222,0,0.0892806150238799,0.134803679662563,0,TRUE
"129","heart_latent_cc2","de",":=","c","de",0.0263556853567406,0.0363871001089426,0.0016702182644906,0.0510411524489906,0.041585257267363,TRUE
"130","heart_latent_cc2","ie",":=","a*b","ie",-0.0633296422247333,0,-0.0763073641820712,-0.0503519202673953,0,TRUE
"131","heart_latent_cc2","te",":=","c+a*b","te",-0.0369739568679927,0.000597505094845685,-0.0580846529742593,-0.0158632607617261,0.000597507293656374,TRUE
"132","heart_latent_cc2","pm",":=","(a*b)/(c+a*b)","pm",1.71281755022428,0.00119607817225398,0.676628121776737,2.74900697867182,0.00462539032633507,TRUE
"133","heart_latent_cc3","heart_latent_cc3","~","cardio_latent_gvrf","a",-0.510126399990026,0,-0.526316471317845,-0.493936328662207,0,TRUE
"136","heart_latent_cc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0388698325857816,0.00119405253202798,-0.0623810945589983,-0.0153585706125648,0.00214436328786663,TRUE
"137","heart_latent_cc3","cog_latent_g","~","heart_latent_cc3","b",-0.00371645970664964,0.719663704442564,-0.0240116926662472,0.0165787732529479,0.719663704442564,FALSE
"140","heart_latent_cc3","de",":=","c","de",-0.0388698325857816,0.00119405253202798,-0.0623810945589983,-0.0153585706125648,0.00214436328786663,TRUE
