,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
heart_shape_SurfaceArea_LV_ED,0.08487495,-0.05206355,0.058562189,-0.010753329,0.028715661,-0.080602331,-0.035787389,-0.016297081,-0.006412851,-0.046080836
heart_texture_DifferenceEntropy_glcm_MYO_ED,-0.085920632,-0.051838605,0.052863811,0.024938013,-0.026785872,-0.051337654,-0.01785019,-0.002602819,0.022139535,5.34E-05
heart_shape_Max3Ddiameter_RV_ED,0.070864907,-0.051821583,0.018694504,0.006180564,0.018044663,-0.044183877,-0.054704564,-0.009648113,-0.010498168,-0.011379058
heart_shape_MinorAxis_RV_ES,0.065849241,-0.050250778,0.030479057,-0.046477397,-0.005653855,-0.067518062,0.005148064,0.0195485,-0.032945104,0.115678877
heart_cmr_RAV.min,0.05526648,-0.050191933,0.018499999,-0.023211173,0.010622596,-0.029063457,0.022678487,-0.023178819,-0.018962763,0.046154246
heart_texture_DependenceNonUniformity_gldm_MYO_ED,0.052782431,-0.050056065,0.092533398,0.008876669,0.070452621,-0.064806076,-0.044137201,0.087113981,0.012777566,-0.048090502
heart_cmr_RVSV,0.070495751,-0.049439858,0.026844008,0.046555531,0.070932454,-0.110964635,0.008120757,-0.04871028,-0.02029609,0.01273671
heart_shape_LeastAxis_MYO_ES,0.088769073,-0.049229629,0.04672007,-0.038706719,-0.008370838,-0.023748482,0.045223169,0.00582749,0.01526638,-0.000917501
heart_shape_Max2DdiameterColumn_RV_ED,0.07097138,-0.049228457,0.032491167,0.01987943,0.016443978,-0.04739221,-0.029156009,-0.056276783,-0.008675455,0.011712876
heart_cmr_LVSV,0.068621861,-0.048908183,0.038095371,0.050003689,0.07567525,-0.123775642,-0.000821857,-0.05771579,-0.001175213,-0.014121362
heart_texture_ZonePercentage_glszm_MYO_ED,-0.072590686,-0.048840911,0.009232252,0.000426189,-0.099894075,-0.064464932,-0.007637409,-0.054399037,-0.060436106,-0.088774835
heart_shape_MinorAxis_LV_ES,0.071395999,-0.048724539,0.066191179,-0.080283644,-0.014453242,-0.040266754,0.041084761,-0.000473158,0.024812878,-0.039584994
heart_texture_RunLengthNonUniformity_glrlm_MYO_ES,0.035351689,-0.048691317,0.119987552,-0.013508489,-0.005407633,0.009816852,-0.020505334,0.113615561,-0.114652333,-0.03966408
heart_shape_LeastAxis_RV_ES,0.075423511,-0.048289513,0.040667643,-0.039117352,-0.002177162,-0.016760134,-0.002914947,-0.036125479,0.015638374,0.095316926
heart_shape_MinorAxis_MYO_ES,0.086550696,-0.048265242,0.055948189,-0.049771251,-0.009003284,-0.037224702,0.068418101,0.021264103,0.021230865,-0.031284089
heart_intensity_Minimum_MYO_ED,-0.006059546,-0.047728487,-0.082092916,-0.024697287,-0.034340822,-0.034912215,-0.034672408,0.00987992,-0.079019908,0.054842192
heart_texture_InformalMeasureofCorrelation2_glcm_MYO_ED,0.0047229,-0.047459143,0.003674542,0.086410799,0.029340979,0.015525979,0.030397122,0.070653184,0.163843085,0.046957889
heart_texture_SmallDependenceEmphasis_gldm_MYO_ED,-0.082490913,-0.047395796,0.020834482,-0.008205526,-0.068469253,-0.068798172,-0.01863472,-0.042796708,-0.045114517,-0.077301471
heart_shape_SurfaceArea_MYO_ED,0.092576002,-0.047326023,0.051481081,0.008488891,0.021877853,-0.057269038,-0.036172152,-0.004917816,-0.010555481,-0.032472613
heart_texture_DifferenceAverage_glcm_MYO_ED,-0.085781578,-0.047298737,0.064584681,0.022414273,0.00465932,-0.04253198,-0.027480872,0.027200678,0.054943754,-0.008970069
heart_texture_DifferenceAverage_glcm_MYO_ES,-0.060251796,-0.046715313,0.106104946,0.015264317,-0.028323386,0.067490781,-0.003367294,0.065685965,-0.097145225,0.026655368
heart_intensity_Minimum_MYO_ES,-0.004064894,-0.046683613,-0.080760107,-0.007707621,-0.039826825,-0.057049619,-0.028899536,0.017707781,-0.067089865,0.083113439
heart_shape_MajorAxis_RV_ES,0.064501215,-0.04637831,0.023708614,-0.015845842,-0.000131515,-0.002536484,-0.001920467,0.009074966,0.013331302,-0.070619961
heart_texture_Strength_ngtdm_MYO_ED,-0.040483658,-0.04558436,-0.050614901,0.014961006,-0.0834288,-0.080051764,-0.023017445,0.045475065,-0.019448367,0.162875617
