"","V1","V2","V3"
"heart_texture_LongRunLowGrayLevelEmphasis_glrlm_MYO_ED",0.271580561861241,-0.684329002195559,0.106577138847725
"heart_texture_LongRunHighGrayLevelEmphasis_glrlm_MYO_ED",0.313044636728656,0.787880664225673,0.229524706389427
"heart_texture_ShortRunEmphasis_glrlm_MYO_ES",-0.845320567253955,-0.112093918690413,-0.142698660832582
"heart_texture_LongRunEmphasis_glrlm_MYO_ES",0.824497794629809,0.0890566687218355,0.194034775066177
"heart_texture_GrayLevelNonUniformity_glrlm_MYO_ES",0.402366381135154,-0.172843490896651,0.722634267970423
"heart_texture_GrayLevelNonUniformityNormalized_glrlm_MYO_ES",0.76569839254427,-0.143399473801235,-0.272859739194017
"heart_texture_RunLengthNonUniformity_glrlm_MYO_ES",-0.458730620323873,-0.140744367898719,0.687960654688227
"heart_texture_RunLengthNonUniformityNormalized_glrlm_MYO_ES",-0.83941020960917,-0.117685541963081,-0.132995627775714
"heart_texture_RunPercentage_glrlm_MYO_ES",-0.866528418712285,-0.120173477742922,-0.150808232480599
"heart_texture_GrayLevelVariance_glrlm_MYO_ES",-0.630909484293043,0.381452573098355,0.184203302271182
"heart_texture_RunVariance_glrlm_MYO_ES",0.810183462799127,0.0937380157112808,0.220565654820441
"heart_texture_RunEntropy_glrlm_MYO_ES",0.147452948580603,0.389515521271409,0.471576181792016
"heart_texture_LowGrayLevelRunEmphasis_glrlm_MYO_ES",0.107698814280895,-0.725399431013058,-0.0549679840928826
"heart_texture_HighGrayLevelRunEmphasis_glrlm_MYO_ES",-0.248849334523846,0.834593874796549,0.114553754273216
"heart_texture_ShortRunLowGrayLevelEmphasis_glrlm_MYO_ES",-0.0100802736880903,-0.7394447434243,-0.0758070169396298
"heart_texture_ShortRunHighGrayLevelEmphasis_glrlm_MYO_ES",-0.416804788445735,0.771421973235346,0.080193246700202
"heart_texture_LongRunLowGrayLevelEmphasis_glrlm_MYO_ES",0.431140902991801,-0.510551763144316,0.0312878362194245
"heart_texture_LongRunHighGrayLevelEmphasis_glrlm_MYO_ES",0.340751155112588,0.698245632487611,0.216286291913216
"heart_texture_Coarseness_ngtdm_MYO_ED",-0.109458064697084,0.0462148935532709,-0.819769877309209
"heart_texture_Contrast_ngtdm_MYO_ED",-0.508714471419009,-0.494800507934299,-0.134214868971154
"heart_texture_Busyness_ngtdm_MYO_ED",0.0745772125087738,-0.711963223712129,0.323182063525428
"heart_texture_Complexity_ngtdm_MYO_ED",-0.384555978963382,0.593629027592724,-0.133493549350936
"heart_texture_Strength_ngtdm_MYO_ED",-0.14788706269381,0.489664776632192,-0.259920993207235
